primary_asset_type,obs,mape_pct
Land,1,255.0051430919002
Niche,1,91.28394887034295
Office,5,88.10063252529349
Industrial,6,85.48037999046305
Mixed Use,1,78.70549474196903
Retail,5,27.983150249160065
