term,coef,std_err,p_value
Intercept,-4.282849862229116,0.7726578663580385,1.8406464240660115e-07
C(country_group)[T.France],0.8412316400240701,0.2750476058203683,0.0027530818670493252
C(country_group)[T.Other Europe],0.6318556409822399,0.2271390413579931,0.0062954542234965214
C(model_year_effect)[T.2022],0.07111730725457305,0.20456825448092505,0.7287255009285071
C(model_year_effect)[T.2023],0.05670275976766179,0.2799782329698399,0.8398546256233321
C(model_year_effect)[T.2024],-0.5240133106251385,0.247061694677904,0.036016517776470754
C(model_year_effect)[T.2025],0.14771590693498168,0.3197146345421948,0.6449146574278842
log_total_size_sqm,0.8174536926402876,0.08323076876591151,5.3157172432786303e-17
