scenario,scenario_label,fold_2023_mape_pct,fold_2024_mape_pct,fold_2025_mape_pct,fold_2026_mape_pct,fold_2023_naive_baseline_mape_pct,fold_2024_naive_baseline_mape_pct,fold_2025_naive_baseline_mape_pct,fold_2026_naive_baseline_mape_pct
A,A — Full,101.40767442770908,105.13985165958945,70.02816749205607,74.11859756639983,101.62247177416184,100.13009442871399,83.81366658281006,63.1739778113332
B,B — Partial,228.97165718846134,177.71262412439611,124.59163696198425,135.68020803879935,101.62247177416184,100.13009442871399,83.81366658281006,63.1739778113332
C,C — Minimal,233.0638781398386,237.8171851652521,134.21477071201687,131.55545288530143,101.62247177416184,100.13009442871399,83.81366658281006,63.1739778113332
