scenario,scenario_label,formula,completeness_ratio,n_coefficients,rolling_mean_mape_pct,headline_fold_mape_pct,random_5_fold_mean_mape_pct,rsquared,rsquared_adj,rolling_naive_baseline_mean_mape_pct,headline_fold_naive_baseline_mape_pct,fold_2023_mape_pct,fold_2024_mape_pct,fold_2025_mape_pct,fold_2026_mape_pct,fold_2023_naive_baseline_mape_pct,fold_2024_naive_baseline_mape_pct,fold_2025_naive_baseline_mape_pct,fold_2026_naive_baseline_mape_pct
A,A — Full,log_deal_size_eur_mn ~ log_total_size_sqm * C(primary_asset_type) + C(country_group) + C(model_year_effect),1.0,21,87.67357278643861,74.11859756639983,87.11713504138758,0.596865270706155,0.5847409179454379,87.18505264925477,63.1739778113332,101.40767442770908,105.13985165958945,70.02816749205607,74.11859756639983,101.62247177416184,100.13009442871399,83.81366658281006,63.1739778113332
B,B — Partial,log_deal_size_eur_mn ~ C(primary_asset_type) + C(country_group) + C(model_year_effect),0.7142857142857143,15,166.73903157841028,135.68020803879935,162.5380534836035,0.10818985872472398,0.08958279169364514,87.18505264925477,63.1739778113332,228.97165718846134,177.71262412439611,124.59163696198425,135.68020803879935,101.62247177416184,100.13009442871399,83.81366658281006,63.1739778113332
C,C — Minimal,log_deal_size_eur_mn ~ C(primary_asset_type) + C(country_group),0.5238095238095238,11,184.16282172560224,131.55545288530143,161.93780797227262,0.09939464709950085,0.08605234557504904,87.18505264925477,63.1739778113332,233.0638781398386,237.8171851652521,134.21477071201687,131.55545288530143,101.62247177416184,100.13009442871399,83.81366658281006,63.1739778113332
